STATISTIC_CODE,Statistic,CSOED_3409,Electoral_Division,TLISTA1,CensusYear,UNIT,VALUE,GUID,ED_ID
FP009C01,Population - 2016,23097,"Clogher, Co.Tipperary, ",2022,2022,Number,232.0,2AE196291C5E13A3E055000000000001,217049
FP009C01,Population - 2016,19054,"Glanmore, Co.Co.Kerry, ",2022,2022,Number,232.0,2AE19629224213A3E055000000000001,77081
FP009C01,Population - 2016,19031,"An Clochán, Co.Co.Kerry, ",2022,2022,Number,232.0,2AE19629238A13A3E055000000000001,77048
FP009C01,Population - 2016,28076,"Riverstown, Co.Leitrim, ",2022,2022,Number,240.0,2AE19629173D13A3E055000000000001,117071
FP009C01,Population - 2016,21045,"Particles, Co.Limerick, ",2022,2022,Number,240.0,2AE1962917B913A3E055000000000001,127119
FP009C01,Population - 2016,29021,"Kilfian East, Co.Mayo, ",2022,2022,Number,240.0,2AE19629192313A3E055000000000001,157091
FP009C01,Population - 2016,31061,"Rossinver West, Co.Sligo, ",2022,2022,Number,240.0,2AE1962919C213A3E055000000000001,207068
FP009C01,Population - 2016,29140,"Glenhest, Co.Mayo, ",2022,2022,Number,248.0,2AE1962918FE13A3E055000000000001,157083
FP009C01,Population - 2016,16039,"Kinturk, Co.Clare, ",2022,2022,Number,248.0,2AE19629201213A3E055000000000001,37105
FP009C01,Population - 2016,19107,"Gullane, Co.Co.Kerry, ",2022,2022,Number,248.0,2AE19629225013A3E055000000000001,77085
FP009C01,Population - 2016,08062,"Lacka, Co.Laois, ",2022,2022,Number,256.0,2AE1962916E113A3E055000000000001,107065
FP009C01,Population - 2016,28045,"Glencar, Co.Leitrim, ",2022,2022,Number,256.0,2AE19629173413A3E055000000000001,117044
FP009C01,Population - 2016,13073,"Greenpark, Co.Westmeath, ",2022,2022,Number,256.0,2AE196291BC413A3E055000000000001,237050
FP009C01,Population - 2016,19150,"Kilflyn, Co.Co.Kerry, ",2022,2022,Number,256.0,2AE19629227A13A3E055000000000001,77095
FP009C01,Population - 2016,19017,"Killinane, Co.Co.Kerry, ",2022,2022,Number,256.0,2AE19629229F13A3E055000000000001,77105
FP009C01,Population - 2016,11023,"Burry, Co.Meath, ",2022,2022,Number,272.0,2AE19629184813A3E055000000000001,167013
FP009C01,Population - 2016,29039,"Coonard, Co.Mayo, ",2022,2022,Number,272.0,2AE19629196D13A3E055000000000001,157059
FP009C01,Population - 2016,13067,"Derrymore, Co.Westmeath, ",2022,2022,Number,272.0,2AE196291B7313A3E055000000000001,237036
FP009C01,Population - 2016,13017,"Umma, Co.Westmeath, ",2022,2022,Number,272.0,2AE196291B9B13A3E055000000000001,237103
FP009C01,Population - 2016,19152,"Kilgobban, Co.Co.Kerry, ",2022,2022,Number,272.0,2AE19629228513A3E055000000000001,77098
